,2024-03-28 22:02:47.511655,1.956927
,2024-03-28 22:02:52.891916,1.408049
,2024-03-28 22:02:58.062926,1.288166
2024-03-28 22:04:03.501737,2024-03-28 22:04:04.690676,1.188939
2024-03-28 22:04:05.937223,2024-03-28 22:04:08.632248,2.695025
2024-03-28 22:04:06.937041,2024-03-28 22:04:09.261491,2.32445
2024-03-28 22:04:07.861515,2024-03-28 22:04:09.794602,1.933087
2024-03-28 22:04:18.440281,2024-03-28 22:04:24.857063,6.416782
2024-03-28 22:04:21.998126,2024-03-28 22:04:26.736509,4.738383
2024-03-28 22:06:54.986765,2024-03-28 22:06:57.533234,2.546469
2024-03-28 22:06:56.497379,2024-03-28 22:06:57.533234,1.035855
